epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,1627.08,0.68008,1.02605,0.42055,0.91381,0,0.98481,0.98498,0.9938,0.79925,0.98334,0.9835,0.99114,0.75286,0.69561,1.09475,0.38932,0.9378,0,0.00091302,0.00091302,0.00091302
29,1653.29,0.68008,1.00585,0.41965,0.9112,0,0.98615,0.98468,0.99417,0.78876,0.98531,0.98321,0.992,0.76217,0.72497,1.0903,0.38434,0.94657,0,0.000905687,0.000905687,0.000905687
30,1689.44,0.67401,1.00524,0.41741,0.9102,0,0.98028,0.97967,0.99156,0.7977,0.98028,0.97967,0.99139,0.75389,0.70061,1.06496,0.38755,0.93469,0,0.000898355,0.000898355,0.000898355
31,1715.21,0.65962,0.99853,0.40379,0.90876,0,0.98747,0.98714,0.99351,0.79449,0.98712,0.98577,0.99118,0.76361,0.72019,1.06885,0.3863,0.93841,0,0.000891022,0.000891022,0.000891022
32,1743.64,0.68901,1.0238,0.41113,0.91149,0,0.9881,0.98627,0.99408,0.79554,0.9888,0.98273,0.99145,0.74771,0.70684,1.0647,0.38565,0.93855,0,0.000883689,0.000883689,0.000883689
33,1769.75,0.67546,1.01551,0.41078,0.90956,0,0.99238,0.98671,0.99432,0.79351,0.99087,0.98525,0.99106,0.74384,0.6988,1.10633,0.37768,0.9397,0,0.000876357,0.000876357,0.000876357
34,1796.72,0.65937,0.99742,0.39206,0.89999,0,0.9949,0.9847,0.99457,0.79821,0.99343,0.98323,0.99254,0.75285,0.69728,1.10316,0.37655,0.94175,0,0.000869024,0.000869024,0.000869024
35,1822.62,0.66991,0.98751,0.39669,0.90591,0,0.98475,0.98515,0.99396,0.80594,0.98602,0.98434,0.99179,0.75956,0.68589,1.07671,0.37849,0.93228,0,0.000861692,0.000861692,0.000861692
36,1878.52,0.65857,0.9999,0.39396,0.90402,0,0.98707,0.98607,0.99157,0.80251,0.9856,0.98459,0.99128,0.75408,0.68644,1.06523,0.36481,0.9362,0,0.000854359,0.000854359,0.000854359
37,1905.53,0.66722,0.99276,0.39025,0.9016,0,0.9931,0.98247,0.9938,0.80352,0.99373,0.98359,0.99198,0.74945,0.67337,1.04538,0.36523,0.92767,0,0.000847026,0.000847026,0.000847026
